,file,human_megadetector,max_detection_conf
0,18f1d36b-dc17-4516-8670-cbdcf9b21350.jpg,0,0
1,a60dc39e-01f6-43c8-85b8-2a791ab39e7f.jpg,0,0
2,b014aa7b-92a9-4fb0-8d82-798f24621eac.jpg,0,0
3,172b4413-c78d-49cb-9afa-e977cc9d9ca5.jpg,0,0
4,587a32ff-7fd4-4cb0-8e02-26449d6e1fc1.jpg,0,0
5,343e8468-26c7-472e-8a43-75f170cf1ee0.jpg,0,0
6,d4c805f7-20c4-41aa-a8ef-c4fdcc2be93a.jpg,0,0
7,a11e8f44-d4d8-47ac-ae1f-dabfc7efce0d.jpg,1.0,0.825
8,ea309cbf-51d6-4abc-a9b8-d24f055bb59e.jpg,0,0
9,2fb4cf0c-df0f-40e1-b119-b0470a43d6b2.jpg,0,0
10,4f94da93-7a66-4bff-b9ea-e86fac49690b.jpg,0,0
11,e35ebd5a-9803-46b5-a2a1-2bc19e8cc051.jpg,0,0
12,daff59f6-cd5a-426c-8da0-cf350d38d147.jpg,0,0
13,fda2f737-98a8-411e-af63-c7657f9cb076.jpg,0,0
14,23a75707-6476-46e5-b4cf-9e0d4d7dc9b6.jpg,0,0
15,be2107da-a30a-4d8e-9b7c-6336e1f87e73.jpg,0,0
16,affe64c6-e489-41c6-8c34-dd4ba8ff028f.jpg,0,0
17,d67098ea-f529-4232-ab73-83c1cdaf8ff9.jpg,0,0
18,b2ebcbe8-8d2e-45e5-ba5f-f1cc33d3715d.jpg,0,0
19,caaa82cc-7792-48aa-aea0-157125f0d083.jpg,0,0
20,0bd81d10-6772-459c-a7c7-7642f5487751.jpg,0,0
21,79047b7e-b2fa-45fc-a85f-d023452e95fc.jpg,0,0
22,3e769d9c-cccd-4ac6-be46-3252f674f79b.jpg,0,0
23,773fbde7-157e-419f-bb7d-cb771a1e5ab9.jpg,0,0
24,61bf9308-5857-45cb-8fc9-e290d700a881.jpg,0,0
25,06de6bd3-d433-403a-ad22-981e3ac0f931.jpg,0,0
26,67abf472-502a-4cd6-a65b-3d0238715c3a.jpg,0,0
27,99ff756b-d213-4dad-93dc-b203a9d1a9a9.jpg,0,0
28,ed6b2dca-2774-462c-b9c4-3394c1262789.jpg,0,0
29,64ca690a-d405-41ef-b4e9-47ac9cbfa9a4.jpg,0,0
30,e98c4653-52b7-4cc4-b5ad-e1a24367c717.jpg,0,0
31,73085678-e16f-4fd2-b903-d481dc1e4763.jpg,0,0
32,f8560dfa-9e1e-409a-b312-f17cbbb261be.jpg,0,0
33,a6f58487-8ade-4b93-a2ab-d66ebdecf0fd.jpg,0,0
34,3f07e77a-b5d4-4b22-b558-243c8ad83b86.jpg,0,0
35,0fb3510d-708d-463f-963f-8bbb699c26b4.jpg,0,0
36,2445af67-3aac-46f1-9793-7542648ee6c5.jpg,0,0
37,e3014905-b0c9-431f-a9d4-50808a223197.jpg,0,0
38,72a2324b-123d-4146-b83c-872f3515c4ad.jpg,0,0
39,00ee5bba-c652-47eb-87fc-3f93b70fd9e8.jpg,0,0
40,465a75d9-d8d2-46e6-ba31-789834b19ef9.jpg,0,0
41,22924ce9-a5a0-4a8b-9c75-9f9fc5051444.jpg,0,0
42,864578c0-e10b-4155-9f45-08124232a8e2.jpg,0,0
43,24a4e20a-5657-4aff-bf15-92ef8e721aac.jpg,0,0
44,a866243e-e232-45c4-b2c6-8cea3f3fa22d.jpg,0,0
45,53ed37a3-c245-45e3-9526-ab57e57478ef.jpg,0,0
46,48e93096-8e4b-4527-80c5-f1ee46a78209.jpg,0,0
47,389f36b3-1cec-458e-a824-4b5ce6df6812.jpg,0,0
48,5e5199a1-5043-42f5-b0b1-fb7b39f25feb.jpg,0,0
49,ef887a93-7f5a-40a4-8aa8-35a9f330a563.jpg,0,0
50,eb0f009d-5b60-480d-adcd-1f9811169f40.jpg,0,0
51,f86fe17a-2f8b-4563-8b01-308f33b4ed9f.jpg,0,0
52,e4b66fd1-cd7c-4e23-b176-13c9db34a31e.jpg,0,0
53,21039dc9-16a8-496a-99f0-7a8a2b6b1024.jpg,0,0
54,e0f9880c-9664-4dd0-8244-4fd19237c24f.jpg,0,0
55,492d9238-e02f-4d3f-b501-247681eb2625.jpg,0,0
56,95acaeea-cb9f-4223-9384-a0a4a7f105e3.jpg,0,0
57,e7c62b5f-10e8-47b6-91af-a04e50955632.jpg,0,0
58,15493bbf-9515-4e15-a8a7-2a14717b455e.jpg,0,0
59,ae123bf9-d289-4ac0-aafc-17c987258614.jpg,0,0
60,2eaa99ec-57fd-4a9d-b9ca-adf868c31d49.jpg,0,0
61,343e5f83-d89a-4894-9019-aa8b9b0b3809.jpg,0,0
62,f3e61511-ba2f-43e1-8194-370d2e755d13.jpg,0,0
63,b54fbe2b-9f41-422d-a5c7-e9d998490eae.jpg,0,0
64,498f36b7-8ede-498e-84c0-5f2b7c224994.jpg,0,0
65,f723a498-f65c-42bd-8761-13b03d01d130.jpg,0,0
66,2c59c02d-9ee1-4715-b255-fa75013340dc.jpg,0,0
67,667ecf3c-2c5b-4a77-ab37-045cfa12ea31.jpg,0,0
68,b9ad6b60-fdad-46a0-8fb7-811f952376f2.jpg,0,0
69,93d86bc0-9d27-4a3a-817c-ce090e1bae0b.jpg,0,0
70,b9840222-802f-4c49-a69e-431e5e71ad8f.jpg,0,0
71,a6dffd1a-4ed3-42cf-880b-348dafc8d0c6.jpg,0,0
72,a167bb81-e3ab-4efc-a72c-f3338c414363.jpg,0,0
73,c539883a-f8bd-4fdf-a22d-da7da235ac0b.jpg,0,0
74,614889e9-c8f4-4a55-983f-cb49c995804b.jpg,0,0
75,9c835965-c315-4dbf-91db-4041dd55aa63.jpg,0,0
76,a399acc7-9933-4178-84af-267151904374.jpg,0,0
77,27e904b2-f0a7-44bc-9224-7e43bebf67b2.jpg,0,0
78,faf1f9ea-cc18-45de-aaa4-b3252bc50337.jpg,0,0
79,a2f2bd17-63e0-4783-a1ae-356f7d92671a.jpg,0,0
80,460f2cd1-49c2-4047-b9ef-50f99ba11534.jpg,0,0
81,1c47cd2a-aaf5-47cc-976b-0b266a166f8f.jpg,0,0
82,65336350-4613-40d2-9f4b-e39a63767a89.jpg,0,0
83,f669dd10-9d8f-4c65-9851-cb6e8110f348.jpg,0,0
84,c115d29a-477f-4539-affd-4b35d954dd7e.jpg,0,0
85,33198cf6-a31c-4bde-a750-859cd590ed2c.jpg,0,0
86,e8e421fd-799d-482b-8722-d6d3a4db72bf.jpg,0,0
87,37dc673d-0840-435b-93f9-ebb7aa5cc364.jpg,0,0
88,c0db5ac7-9640-4602-aa18-d695f4d8c90a.jpg,0,0
89,f068a67c-ac20-4ba6-8a7a-d7b6778c0f1b.jpg,0,0
90,d7c4bff2-4674-4a38-a515-d8ea67b191ad.jpg,0,0
91,363ca431-7a93-4db6-89ad-f59ee14ac154.jpg,0,0
92,a20421d3-2644-4a5a-a03b-7724a8ab2ce3.jpg,0,0
93,970ff7bb-7048-494b-8841-1d6d608c33be.jpg,0,0
94,d9c0a3fe-8c8b-4290-aaed-91af6bf14e66.jpg,0,0
95,d7696753-9b37-4df8-8fa0-f8fa68cb3508.jpg,0,0
96,2ed1526f-0002-4259-bda3-b9bb5e9785a5.jpg,0,0
97,a2ec7c7a-72f9-4766-881a-13e4d7b20d5c.jpg,0,0
98,c3064d81-44d5-481c-bc02-214410d7c2a5.jpg,0,0
99,a8a3c002-036d-4fab-b787-ce13b08ab8e7.jpg,0,0
100,4f0e5b78-b9cf-4eca-acd5-e311575320e0.jpg,0,0
101,4c9ae873-ef2a-463f-836e-cfb054a35f55.jpg,0,0
102,87bd9fc5-70db-4dc5-ab19-a8b851162d21.jpg,0,0
103,133aed7e-504b-48d1-a05d-f45490f71959.jpg,0,0
104,599ecd9c-1989-4b6b-a714-45f07522a257.jpg,0,0
105,b0f8afe5-a8ba-43a1-ab2e-237b92b7072b.jpg,0,0
106,037614d3-527d-4950-aec1-b909ef36101b.jpg,0,0
107,578eade3-279c-48b0-9a90-be08f5f98c66.jpg,0,0
108,570c75bd-009a-4277-8e0b-d7a1e8d7a344.jpg,0,0
109,7a26cfa4-77a4-445f-9646-e75fc3ecd493.jpg,0,0
110,b25301d4-706e-4a65-a6ed-06b750ce8f65.jpg,0,0
111,4805d4a8-4372-40c1-a12d-727c5c2bebd8.jpg,0,0
112,b27c8563-b67b-400b-889d-fb2b4033e1a9.jpg,0,0
113,4cf925f0-79ae-4179-9bc9-5e0a1ae06982.jpg,0,0
114,cf254121-135c-4428-941c-d1fba75e70f0.jpg,0,0
115,42e6b6a9-2158-4701-b918-64d22425952f.jpg,0,0
116,79ed4a86-031d-41a6-a105-1df2bd8964f9.jpg,0,0
117,43f8affe-f69d-4861-b37f-462728d1c266.jpg,0,0
118,b567d5c8-df86-4de9-baa4-9a8624eeab9a.jpg,0,0
119,5d4bb445-be2b-41b6-a15c-3aa3b9696ac8.jpg,0,0
120,7ec88e95-8bc4-4588-b9f5-349861f0e17f.jpg,0,0
121,38cc9e0f-a997-494c-b53f-3c62785fbcd8.jpg,0,0
122,7a11e332-0159-45dd-a7ad-5ebf83a6a551.jpg,0,0
123,2bd009bc-9f7f-4017-a1e8-c146d0fac5f4.jpg,0,0
124,5695dc70-f92c-4f16-9b6f-455f15c5c750.jpg,0,0
125,b358ce05-a28e-471f-81dc-e1ab8eec2ba5.jpg,0,0
126,3cb00339-9379-41c6-a618-5b8fcc49818a.jpg,0,0
127,a45319d8-eaf3-47c8-b9c1-2b8d564e9ad1.jpg,0,0
128,b3e3ade2-f619-4fd3-aa8e-16ab54ca2244.jpg,0,0
129,a4024af9-d3b4-4f0c-8bf8-033cb2ff1036.jpg,0,0
130,6ace63ce-fada-4125-8d4b-e5d573415420.jpg,0,0
131,949e1572-e52a-4cfa-af5d-8d99677e9b54.jpg,0,0
132,31a4f777-cd90-491e-bc50-a87b2acdf53a.jpg,0,0
133,2d71982d-7f2d-430d-ae9c-9b2d34248837.jpg,0,0
134,5a30be32-000f-4bec-a29f-f83b47a77dfc.jpg,0,0
135,8ac0a328-aa00-4072-8d54-cfdb6914a608.jpg,0,0
